RAW > 2.179949895217 0 1 -1 -1 -1
RAW > 2.180141895217 2 2 -1 -1 0
RAW > 2.2 0 0 57 57 -1
RAW > 2.2 1 0 83 83 -1
RAW > 2.2 2 0 63 63 -1
RAW > 2.2 3 0 6 6 -1
RAW > 2.2 4 0 77 77 -1
RAW > 2.2 5 0 38 38 -1
RAW > 2.2 6 0 10 10 -1
RAW > 2.2 7 0 94 94 -1
RAW > 2.2 8 0 95 95 -1
RAW > 2.2 9 0 49 49 -1
RAW > 2.223949895217 0 1 -1 -1 -1
RAW > 2.224141895217 2 2 -1 -1 0
RAW > 2.227949895217 0 1 -1 -1 -1
RAW > 2.228141895217 2 2 -1 -1 0
RAW > 2.271949895217 0 1 -1 -1 -1
RAW > 2.272141895217 2 2 -1 -1 0
RAW > 2.275949895217 0 1 -1 -1 -1
RAW > 2.276141895217 2 2 -1 -1 0
RAW > 2.3 0 0 57 57 -1
RAW > 2.3 1 0 83 83 -1
RAW > 2.3 2 0 63 63 -1
RAW > 2.3 3 0 6 6 -1
RAW > 2.3 4 0 77 77 -1
RAW > 2.3 5 0 38 38 -1
RAW > 2.3 6 0 10 10 -1
RAW > 2.3 7 0 94 94 -1
RAW > 2.3 8 0 95 95 -1
RAW > 2.3 9 0 49 49 -1
RAW > 2.319949895217 0 1 -1 -1 -1
RAW > 2.320141895217 2 2 -1 -1 0
RAW > 2.323949895217 0 1 -1 -1 -1
RAW > 2.324141895217 2 2 -1 -1 0
RAW > 2.367949895217 0 1 -1 -1 -1
RAW > 2.368141895217 2 2 -1 -1 0
RAW > 2.371949895217 0 1 -1 -1 -1
RAW > 2.372141895217 2 2 -1 -1 0
RAW > 2.4 0 0 57 57 -1
RAW > 2.4 1 0 83 83 -1
RAW > 2.4 2 0 63 63 -1
RAW > 2.4 3 0 7 7 -1
RAW > 2.4 4 0 77 77 -1
RAW > 2.4 5 0 38 38 -1
RAW > 2.4 6 0 10 10 -1
RAW > 2.4 7 0 94 94 -1
RAW > 2.4 8 0 95 95 -1
RAW > 2.4 9 0 49 49 -1
RAW > 2.415949895217 0 1 -1 -1 -1
RAW > 2.416141895217 2 2 -1 -1 0
RAW > 2.419949895217 0 1 -1 -1 -1
RAW > 2.463949895217 0 1 -1 -1 -1
RAW > 2.464141895217 2 2 -1 -1 0
RAW > 2.467949895217 0 1 -1 -1 -1
RAW > 2.468141895217 2 2 -1 -1 0
RAW > 2.5 0 0 57 57 -1
RAW > 2.5 1 0 83 83 -1
RAW > 2.5 2 0 63 63 -1
RAW > 2.5 3 0 7 7 -1
RAW > 2.5 4 0 77 77 -1
RAW > 2.5 5 0 38 38 -1
RAW > 2.5 6 0 10 10 -1
RAW > 2.5 7 0 93 93 -1
RAW > 2.5 8 0 95 95 -1
RAW > 2.5 9 0 49 49 -1
RAW > 2.511949895217 0 1 -1 -1 -1
RAW > 2.512141895217 2 2 -1 -1 0
RAW > 2.515949895217 0 1 -1 -1 -1
RAW > 2.516141895217 2 2 -1 -1 0
RAW > 2.559949895217 0 1 -1 -1 -1
RAW > 2.560141895217 2 2 -1 -1 0
RAW > 2.563949895217 0 1 -1 -1 -1
RAW > 2.564141895217 2 2 -1 -1 0
RAW > 2.6 0 0 57 57 -1
RAW > 2.6 1 0 83 83 -1
RAW > 2.6 2 0 63 63 -1
RAW > 2.6 3 0 7 7 -1
RAW > 2.6 4 0 77 77 -1
RAW > 2.6 5 0 38 38 -1
RAW > 2.6 6 0 10 10 -1
RAW > 2.6 7 0 93 93 -1
RAW > 2.6 8 0 95 95 -1
RAW > 2.6 9 0 49 49 -1
RAW > 2.607949895217 0 1 -1 -1 -1
RAW > 2.608141895217 2 2 -1 -1 0
RAW > 2.611949895217 0 1 -1 -1 -1
RAW > 2.612141895217 2 2 -1 -1 0
RAW > 2.655949895217 0 1 -1 -1 -1
RAW > 2.659949895217 0 1 -1 -1 -1
RAW > 2.660141895217 2 2 -1 -1 0
RAW > 2.7 0 0 57 57 -1
RAW > 2.7 1 0 83 83 -1
RAW > 2.7 2 0 63 63 -1
RAW > 2.7 3 0 7 7 -1
RAW > 2.7 4 0 77 77 -1
RAW > 2.7 5 0 37 37 -1
RAW > 2.7 6 0 10 10 -1
RAW > 2.7 7 0 93 93 -1
RAW > 2.7 8 0 95 95 -1
RAW > 2.7 9 0 49 49 -1
RAW > 2.703949895217 0 1 -1 -1 -1
RAW > 2.707949895217 0 1 -1 -1 -1
RAW > 2.708141895217 2 2 -1 -1 0
RAW > 2.751949895217 0 1 -1 -1 -1
RAW > 2.752141895217 2 2 -1 -1 0
RAW > 2.755949895217 0 1 -1 -1 -1
RAW > 2.756141895217 2 2 -1 -1 0
RAW > 2.799949895217 0 1 -1 -1 -1
RAW > 2.8 0 0 57 57 -1
RAW > 2.8 1 0 83 83 -1
RAW > 2.8 2 0 63 63 -1
RAW > 2.8 3 0 7 7 -1
RAW > 2.8 4 0 76 76 -1
RAW > 2.8 5 0 37 37 -1
RAW > 2.8 6 0 11 11 -1
RAW > 2.8 7 0 93 93 -1
RAW > 2.8 8 0 95 95 -1
RAW > 2.8 9 0 49 49 -1
RAW > 2.803949895217 0 1 -1 -1 -1
RAW > 2.804141895217 2 2 -1 -1 0
RAW > 2.847949895217 0 1 -1 -1 -1
RAW > 2.848141895217 2 2 -1 -1 0
RAW > 2.851949895217 0 1 -1 -1 -1
RAW > 2.895949895217 0 1 -1 -1 -1
RAW > 2.896141895217 2 2 -1 -1 0
RAW > 2.899949895217 0 1 -1 -1 -1
RAW > 2.9 0 0 57 57 -1
RAW > 2.9 1 0 82 82 -1
RAW > 2.9 2 0 62 62 -1
RAW > 2.9 3 0 7 7 -1
RAW > 2.9 4 0 76 76 -1
RAW > 2.9 5 0 37 37 -1
RAW > 2.9 6 0 11 11 -1
RAW > 2.9 7 0 93 93 -1
RAW > 2.9 8 0 94 94 -1
RAW > 2.9 9 0 49 49 -1
RAW > 2.900141895217 2 2 -1 -1 0
RAW > 2.943949895217 0 1 -1 -1 -1
RAW > 2.944141895217 2 2 -1 -1 0
RAW > 2.947949895217 0 1 -1 -1 -1
RAW > 2.948141895217 2 2 -1 -1 0
RAW > 2.991949895217 0 1 -1 -1 -1
RAW > 2.992141895217 2 2 -1 -1 0
RAW > 2.995949895217 0 1 -1 -1 -1
RAW > 2.996141895217 2 2 -1 -1 0
RAW > 3 0 0 57 57 -1
RAW > 3 1 0 82 82 -1
RAW > 3 2 0 62 62 -1
RAW > 3 3 0 7 7 -1
RAW > 3 4 0 76 76 -1
RAW > 3 5 0 37 37 -1
RAW > 3 6 0 11 11 -1
RAW > 3 7 0 93 93 -1
RAW > 3 8 0 94 94 -1
RAW > 3 9 0 49 49 -1
RAW > 3.039949895217 0 1 -1 -1 -1
RAW > 3.040141895217 2 2 -1 -1 0
RAW > 3.043949895217 0 1 -1 -1 -1
RAW > 3.044141895217 2 2 -1 -1 0
RAW > 3.087949895217 0 1 -1 -1 -1
RAW > 3.088141895217 2 2 -1 -1 0
RAW > 3.091949895217 0 1 -1 -1 -1
RAW > 3.092141895217 2 2 -1 -1 0
RAW > 3.1 0 0 57 57 -1
RAW > 3.1 1 0 82 82 -1
RAW > 3.1 2 0 62 62 -1
RAW > 3.1 3 0 7 7 -1
RAW > 3.1 4 0 76 76 -1
RAW > 3.1 5 0 37 37 -1
RAW > 3.1 6 0 11 11 -1
RAW > 3.1 7 0 93 93 -1
RAW > 3.1 8 0 94 94 -1
RAW > 3.1 9 0 48 48 -1
RAW > 3.135949895217 0 1 -1 -1 -1
RAW > 3.136141895217 2 2 -1 -1 0
RAW > 3.139949895217 0 1 -1 -1 -1
RAW > 3.140141895217 2 2 -1 -1 0
RAW > 3.183949895217 0 1 -1 -1 -1
RAW > 3.184141895217 2 2 -1 -1 0
